Referencia,Perfil,Género,Jornada laboral,Equipo,Ubicación,Nivel Estudios,Estado Civil,Fecha Nacimiento,Edad,Antigüedad,Fecha Fin,Años en Empresa,Grupo Profesional,Salario mensual,Categoria,Distancia al trabajo (KM),Promociones,Nivel de satisfacción
TRB-0000182,No activo,Mujer,COMPLETA,ORIENTE MEDIO,EXPATRIADO,Máster,SOLTERO/A,20/10/1994,31,01/08/2022,30/09/2023,1,GRUPO 3.2,2012,TECNICAS,14,0,3
TRB-0000183,No activo,Mujer,COMPLETA,PAMPLONA,ESPAÑA,Máster,SOLTERO/A,08/02/1992,33,16/08/2022,03/11/2022,0,GRUPO 3.2,2012,TECNICAS,8,0,4
TRB-0000184,Activo,Mujer,COMPLETA,EUSKADI,ESPAÑA,Máster,SOLTERO/A,08/01/1995,30,01/04/2025,,0,GRUPO 3.1,2195,TECNICAS,4,0,1
TRB-0000186,Activo,Mujer,COMPLETA,SEVILLA,ESPAÑA,Máster,SOLTERO/A,03/03/1995,30,19/09/2022,,3,GRUPO 3.1,2195,TECNICAS,7,2,4
TRB-0000187,No activo,Mujer,COMPLETA,VALLADOLID,ESPAÑA,Máster,CASADO,19/10/1987,38,03/10/2022,30/06/2023,0,GRUPO 3.2,2012,TECNICAS,10,0,3
TRB-0000188,Activo,Mujer,COMPLETA,EUSKADI,ESPAÑA,Máster,SOLTERO/A,18/12/1997,28,10/10/2022,,3,GRUPO 3.1,2195,TECNICAS,13,1,4
TRB-0000189,No activo,Mujer,COMPLETA,EUSKADI,ESPAÑA,Máster,SOLTERO/A,12/03/1996,29,11/10/2022,10/01/2023,0,GRUPO 4,1930,TECNICAS,16,0,4
TRB-0000191,No activo,Hombre,COMPLETA,MERIDA,ESPAÑA,Máster,SOLTERO/A,25/08/1984,41,10/10/2022,30/01/2023,0,GRUPO 3.2,2012,TECNICAS,14,0,4
TRB-0000192,Activo,Hombre,COMPLETA,EUSKADI,ESPAÑA,Máster,SOLTERO/A,05/06/1989,36,19/10/2022,,3,GRUPO 3.1,2185,TECNICAS,19,2,3
TRB-0000193,No activo,Hombre,COMPLETA,SANTANDER,ESPAÑA,Grado Universitario,SOLTERO/A,13/01/1987,38,19/10/2022,30/06/2023,0,GRUPO 3.1,2195,TECNICAS,12,0,4
TRB-0000194,Activo,Hombre,COMPLETA,EUSKADI,ESPAÑA,Máster,SOLTERO/A,02/11/1996,29,02/11/2022,,3,GRUPO 3.1,2182,TECNICAS,14,2,3
TRB-0000195,No activo,Mujer,COMPLETA,PAMPLONA,ESPAÑA,Máster,SOLTERO/A,27/11/1976,49,15/11/2022,30/08/2024,1,GRUPO 3.2,2012,TECNICAS,15,0,4
TRB-0000197,No activo,Hombre,COMPLETA,BARCELONA,ESPAÑA,Máster,SOLTERO/A,17/02/1995,30,09/01/2023,10/02/2023,0,GRUPO 4,1930,TECNICAS,20,0,3
TRB-0000198,No activo,Mujer,COMPLETA,BARCELONA,ESPAÑA,Máster,SOLTERO/A,02/04/1998,27,09/01/2023,11/02/2025,2,GRUPO 3.1,2195,TECNICAS,12,2,4
